english,chinese,latin,french,spanish,atc
acebrochol,醋溴考尔,acebrocholum,acébrochol,acebrocol,
dehydrocholic acid,去氢胆酸,acidum dehydrocholicum,acide déhydrocholique,ácido dehidrocólico,
gentisic acid,龙胆酸,acidum gentisicum,acide gentisique,ácido gentísico,
glutamic acid,谷氨酸,acidum glutamicum,acide glutamique,ácido glutámico,
iopanoic acid,碘番酸,acidum iopanoicum,acide iopanoïque,ácido iopanoico,
acriflavinium chloride,吖啶黄,acriflavinii chloridum,chlorure d'acriflavinium,cloruro de acriflavinio,
adiphenine,阿地芬宁,adipheninum,adiphénine,adifenina,
adrenalone,肾上腺酮,adrenalonum,adrélanone,adrenalona,
ethacridine,依沙吖啶,aethacridinum,éthacridine,etacridina,
ethoxazorutoside,乙吗芦丁,aethoxazorutosidum,éthoxazorutoside,etoxazorutósido,
aldesulfone sodium,阿地砜钠,aldesulfonum natricum,aldésulfone sodique,aldesulfona de sodio,
allobarbital,阿洛巴比妥,allobarbitalum,allobarbital,alobarbital,
allocupreide sodium,阿洛酮钠,allocupreidum natricum,allocupréide sodique,alocupreida de sodio,
allomethadione,阿洛双酮,allomethadionum,allométhadione,"allyl-3 méthyl-5 oxazolidine dione-2,4",
alphameprodine,阿法美罗定,alphameprodinum,alphaméprodine,alfameprodina,
alphaprodine,阿法罗定,alphaprodinum,"diméthyl-1,3 phényl-4 propionoxy-4",pipéridine,
aminoacridine,氨吖啶,aminoacridinum,aminoacridine,aminoacridina,
aminothiazole,氨噻唑,aminothiazolum,aminothiazol,aminotiazol,
amoxecaine,阿莫卡因,amoxecainum,N-β-éthyle,amoxecaína,
aprobarbital,阿普比妥,aprobarbitalum,aprobarbital,aprobarbital,
aurothioglycanide,金硫醋苯胺,aurothioglycanidum,auromercaptoacétanilide,aurotioglicanida,
azamethonium bromide,阿扎溴铵,azamethonii bromidum,bromure d'azaméthonium,bromuro de azametonio,
bacitracin,杆菌肽,bacitracinum,bacitracine,bacitracina,
benethamine penicillin,苯明青霉素,benethamini penicillinum,pénicilline-bénéthamine,pénicilline,
benzalkonium chloride,苯扎氯铵,benzalkonii chloridum,chlorure de benzalkonium,cloruro de benzalconio,
benzethonium chloride,苄索氯铵,benzethonii chloridum,chlorure de benzéthonium,cloruro de bencetonio,
benzylsulfamide,苄磺胺,benzylsulfammidum,benzylsulfamide,bencilsulfamida,
bibrocathol,铋溴酚,bibrocatholum,bibrocathol,bibrocatol,
biotin,生物素,biotinum,biotine,biotina,
bithionol,硫氯酚,bithionolum,bithionol,bitionol,
carbomycin,卡波霉素,carbomycinum,carbomycine,carbomicina,
carbromal,卡溴脲,carbromalum,carbromal,carbromal,
ketobemidone,凯托米酮,cetobemidonum,cétobémidone,cetobemidona,
cetylpyridinium chloride,西吡氯铵,cetylpyridinii chloridum,chlorure de cétylpyridinium,cloruro de cetilpiridinio,
chloramphenicol,氯霉素,chloramphenicolum,chloramphénicol,cloranfenicol,
chlorazodin,氯脒佐定,chlorazodinum,chlorazodine,clorazodina,
chlormethine,氮芥,chlormethinum,chlorméthine,clormetina,
chlornaphazine,萘氮芥,chlornaphazinum,chlornaphazine,clornafazina,
chloropyramine,氯吡拉敏,chloropyraminum,chloropyramine,cloropiramina,
chlorquinaldol,氯喹那多,chlorquinaldolum,chlorquinaldol,clorquinaldol,
cinchophen,辛可芬,cinchophenum,cinchophène,cincofeno,
cocarboxylase,辅羧酶,cocarboxylasum,cocarboxylase,cocarboxilasa,
corbadrine,可巴君,corbadrinum,corbadrine,corbadrina,
cortisone,可的松,cortisonum,cortisone,cortisona,
cyanocobalamin,维生素B12,cyanocobalaminum,cyanocobalamine,cianocobalamina,
cyclobarbital,环己巴比妥,cyclobarbitalum,cyclobarbital,ciclobarbital,
cyclopentamine,环喷他明,cyclopentaminum,cyclopentamine,ciclopentamina,
cyclopropane,环丙烷,cyclopropanum,cyclopropane,ciclopropano,
dextran,右旋糖酐,dextranum,dextran,dextran,
dextromethorphan,右美沙芬,dextromethorphanum,dextrométhorphane,(+) méthoxy-3 N-méthylmorphinane,
dextrorphan,右啡烷,dextrorphanum,dextrorphane,dextrorfano,
dibemethine,双苄甲胺,dibemethinum,dibéméthine,dibemetina,
diethazine,二乙嗪,diethazinum,diéthazine,dietazina,
diethylcarbamazine,乙胺嗪,diethylcarbamazinum,diéthylcarbamazine,diéthylcarbamoyl-1 méthyl-4 pipérazine,
dihydrostreptomycin,双氢链霉素,dihydrostreptomycinum,dihydrostreptomycine,dihidroestreptomicina,
dihydrotachysterol,二氢速固醇,dihydrotachysterolum,dihydrotachystérol,dihidrotaquisterol,
diiodohydroxyquinoline,双碘喹啉,diiodohydroxyquinolinum,diiodohydroxyquinoléine,diiodohidroxiquinoleína,
dimenhydrinate,茶苯海明,dimenhydrinatum,"N,N-diméthyl éthylammonium",dimenhidrinato,
dimercaprol,二巯丙醇,dimercaprolum,dimercaprol,dimercaprol,
dimethiodal sodium,二碘甲磺钠,dimethiodalum natricum,diméthiodal sodique,dimetiodal de sodio,
diodone,碘奥酮,diodonum,diodone,diodona,
diphenan,地芬南,diphenanum,diphénane,difenán,
diprophylline,二羟丙茶碱,diprophyllinum,diprophylline,diprofilina,
disulfiram,双硫仑,disulfiramum,disulfirame,disulfiram,
dixanthogen,二黄原酸,dixanthogenum,dixanthogène,dixantogeno,
eucatropine,尤卡托品,eucatropinum,eucatropine,eucatropina,
fenethazine,芬乙嗪,fenethazinum,fénéthazine,fenetazina,
fumagillin,夫马洁林,fumagillinum,fumagilline,fumagilina,
furtrethonium iodide,呋索碘铵,furtrethonii iodidum,iodure de furtréthonium,ioduro de furtretonio,
glucosulfamide,葡磺胺,glucosulfamidum,glucosulfamide,glucosulfamida,
glucosulfone,葡胺苯砜,glucosulfonum,glucosulfone,glucosulfona,
glycobiarsol,甘铋胂,glycobiarsolum,glycobiarsol,glicobiarsol,
gramicidin,短杆菌肽,gramicidinum,gramicidine,gramicidina,
heptaminol,辛胺醇,heptaminolum,heptaminol,heptaminol,
hexachlorophene,六氯酚,hexachlorophenum,hexachlorophène,hexaclorofeno,
hexobarbital,海索比妥,hexobarbitalum,hexobarbital,hexobarbital,
homatropine methylbromide,甲溴后马托品,homatropini methylbromidum,méthylbromure d'homatropine,metilbromuro de homatropina,
hydralazine,肼屈嗪,hydralazinum,hydralazine,hidralazina,
hydrocortisone,氢化可的松,hydrocortisonum,hydrocortisone,hidrocortisona,
hydroxyprocaine,羟普鲁卡因,hydroxyprocainum,hydroxyprocaïne,hidroxiprocaína,
hydroxytetracaine,羟丁卡因,hydroxytetracainum,hydroxytétracaïne,hidroxitetracaína,
ibrotamide,异溴米特,ibrotamidum,ibrotamide,ibrotamida,
intermedine,垂体中叶素,intermedinum,intermédine,intermedina,
iodophthalein sodium,碘酞钠,rodophthaleinum natricum,iodophtaléine sodique,iodoftaleína de sodio,
iodothiouracil,碘硫氧嘧啶,iodothiouracilum,iodothiouracil,iodotiouracilo,
iproniazid,异丙烟肼,iproniazidum,iproniazide,iproniazida,
isomethadone,异美沙酮,isomethadonum,isométhadone,isometadona,
isoniazid,异烟肼,isoniazidum,isoniazide,isoniazida,
isoprenaline,异丙肾上腺素,isoprenalinum,isoprénaline,isoprenalina,
khellin,凯林,khellinum,khelline,kelina,
levomethorphan,左美沙芬,levomethorphanum,lévométhorphane,(-) méthoxy-3 N-méthylmorphinanc,
merbromin,汞溴红,merbrominum,merbromine,merbromina,
mercaptamine,巯乙胺,mercaptaminum,mercaptamine,mercaptamina,
mercaptomerin,硫汞林,mercaptomerinum,mercaptomérine,mercaptomerina,
mercuderamide,汞拉米特,mercuderamidum,mercudéramide,mercuderamida,
mercurobutol,汞氯丁酚,mercurobutolum,mercurobutol,mercurobutol,
mercurophylline,汞罗茶碱,mercurophyllinum,mercurophylline,mercurofilina,
mesulfen,甲硫芬,mesulfenum,mésulfène,mesulfeno,
methandriol,美雄醇,methandriolum,méthandriol,metandriol,
methanthelinium bromide,美生溴铵,methanthelinii bromidum,bromure de méthanthélinium,bromuro de metantelinio,
methaphenilene,美沙芬林,methaphenilenum,méthaphénilène,metafenileno,
methapyrilene,美沙吡林,methapyrilenum,méthapyrilène,metapirileno,
metharbital,美沙比妥,metharbitalum,métharbital,metarbital,
methenamine,乌洛托品,methenaminum,méthénamine,dipropionate de méthestrol,
methiodal sodium,碘甲磺钠,methiodalum natricum,méthiodal sodique,"méthyl-17a androstène-5 diol-3β,17β",
methylphenobarbital,甲苯比妥,methylphenobarbitalum,méthylphénobarbital,metilfenobarbital,
methylthioninium chloride,亚甲蓝,methylthioninii chloridum,chlorure de méthylthioninium,cloruro de metiltioninio,
methylthiouracil,甲硫氧嘧啶,methylthiouracilum,méthyl-4 thio-uracile-2,metiltiouracilo,
nalorphine,烯丙吗啡,nalorphinum,nalorphine,nalorfina,
naphazoline,萘甲唑啉,naphazolinum,natrüi dehydrocholas,nafazolina,
neocinchophen,新辛可芬,neocinchophenum,néocinchophène,neocincofeno,
neomycin,新霉素,neomycinum,néomycine,neomicina,
nicopholine,尼可复林,nicopholinum,nicopholine,nicofolina,
nitrofural,呋喃西林,nitrofuralum,nitrofural,nitrofural,
nitrosulfathiazole,硝磺胺噻唑,nitrosulfathiazolum,nitrosulfathiazol,nitrosulfatiazol,
oxapropanium iodide,奥普碘铵,oxapropanii iodidum,iodure d'oxapropanium,ioduro de oxapropanio,
oxyphenonium bromide,奥芬溴铵,oxyphenonii bromidum,bromure d'oxyphénonium,bromuro de oxifenonio,
oxytetracycline,土霉素,oxytetracyclinum,oxytétracycline,oxitetraciclina,
paramethadione,甲乙双酮,paramethadionum,paraméthadione,parametadiona,
paroxypropione,对羟苯丙酮,paroxypropionum,paroxypropione,paroxipropiona,
pentobarbital,戊巴比妥,pentobarbitalum,pentobarbital,pentobarbital,
phenadoxone,苯吗庚酮,phenadoxonum,phénadoxone,fenadoxona,
phenicarbazide,苯胺脲,phenicarbazidum,phénicarbazide,phénylsemicarbazide,
phenindamine,苯茚胺,phenindaminum,phénindamine,fenindamina,
pheniodol sodium,碘阿芬酸钠,pheniodolum natricum,phéniodol sodique,feniodol de sodio,
phenothiazine,吩塞秦,phenothiazinum,phénothiazine,fenotiazina,
phenpromethamine,苯丙甲胺,phenpromethaminum,phenprométhamine,"N,β-diméthyl phénéthylamine",
phentolamine,酚妥拉明,phentolaminum,phentolamine,fentolamina,
phenylbutazone,保泰松,phenylbutazonum,phénylbutazone,fenilbutazona,
phenylephrine,去氧肾上腺素,phenylephrinum,phényléphrine,fenilefrina,
phthalylsulfathiazole,酞磺胺噻唑,phthalylsulfathiazolum,phtalylsulfathiazol,ftalilsulfatiazol,
phytomenadione,维生素K1,phytomenadionum,phytoménadione,fitomenadiona,
piridocaine,匹多卡因,piridocainum,piridocaïne,piridocaína,
pregnenolone,孕烯诺龙,pregnenolonum,prégnénolone,pregnenolona,
primaquine,伯氨喹,primaquinum,primaquine,primaquina,
probarbital sodium,普罗比妥钠,probarbitalum natricum,probarbital sodique,probarbital de sodio,
procainamide,普鲁卡因胺,procainamidum,procaïnamide,procainamida,
procyclidine,丙环定,procyclidinum,procyclidine,prociclidina,
proflavine,原黄素,proflavinum,proflavine,proflavina,
propamidine,普罗帕脒,propamidinum,propamidine,propamidina,
propantheline bromide,溴丙铵太林,propanthelini bromidum,bromure de propanthéline,bromuro de propantelina,
propyliodone,丙碘酮,propyliodonum,propyliodone,propiliodona,
propylthiouracil,丙硫氧嘧啶,propylthiouracilum,propylthiouracile,propiltiouracilo,
propyphenazone,异丙安替比林,propyphenazonum,propyphénazone,propifenazona,
pyrimethamine,乙胺嘧啶,pyrimethaminum,pyriméthamine,N-thiodiphénylamine,
