latin,english,french,spanish,chinese,cas,pl_list
acebrocholum,acebrochol,acébrochol,acebrocol,醋溴考尔,,pl01
acediasulfonum natricum,acediasulfone'sodium,acédiasulfone sodique,acediasulfona de sodio,,,pl01
acetaminosalolum,acctaminosalol,acétaminosalol,acetaminosalol,,,pl01
acidum aminoaceticum,amino-acetic acid,,,,,pl01
acidum dehydrocholicum,dehydrocholic acid,acide déhydrocholique,ácido dehidrocólico,去氢胆酸,,pl01
acidum gentisicum,gentisic acid,acide gentisique,ácido gentísico,龙胆酸,,pl01
acidum glutamicum,glutamic acid,acide glutamique,ácido glutámico,谷氨酸,,pl01
acidum iopanoicum,iopanoic acid,acide iopanoïque,ácido iopanoico,碘番酸,,pl01
acriflavinii chloridum,acriflavinium chloride,chlorure d'acriflavinium,cloruro de acriflavinio,吖啶黄,,pl01
adipheninum,adiphenine,adiphénine,adifenina,阿地芬宁,,pl01
adrenalonum,adrenalone,adrélanone,adrenalona,肾上腺酮,,pl01
aethacridinum,ethacridine,éthacridine,etacridina,依沙吖啶,,pl01
aethoxazorutosidum,ethoxazorutoside,éthoxazorutoside,etoxazorutósido,乙吗芦丁,,pl01
alcoholum benzylicum,alcool benzylique,,,,,pl01
aldesulfonum natricum,aldesulfone sodium,aldésulfone sodique,aldesulfona de sodio,阿地砜钠,,pl01
allobarbitalum,allobarbital,allobarbital,alobarbital,阿洛巴比妥,,pl01
allocupreidum natricum,allocupreide sodium,allocupréide sodique,alocupreida de sodio,阿洛酮钠,,pl01
allomethadionum,allomethadione,allométhadione,"allyl-3 méthyl-5 oxazolidine dione-2,4",阿洛双酮,,pl01
alphameprodinum,alphameprodine,alphaméprodine,alfameprodina,阿法美罗定,,pl01
alphaprodinum,alphaprodine,"diméthyl-1,3 phényl-4 propionoxy-4",pipéridine,阿法罗定,,pl01
aminoacridinum,aminoacridine,aminoacridine,aminoacridina,氨吖啶,,pl01
aminothiazolum,aminothiazole,aminothiazol,aminotiazol,氨噻唑,,pl01
amobarbitalum,amobarbital,,,,,pl01
amodiaquini hydrochloridum,amodiaquine hydrochloride,,,,,pl01
amoxecainum,amoxecaine,N-β-éthyle,amoxecaína,阿莫卡因,,pl01
antazolini hydrochloridum,antazoline hydrochloride,,,,,pl01
aprobarbitalum,aprobarbital,aprobarbital,aprobarbital,阿普比妥,,pl01
aurothioglycanidum,aurothioglycanide,auromercaptoacétanilide,aurotioglicanida,金硫醋苯胺,,pl01
azamethonii bromidum,azamethonium bromide,bromure d'azaméthonium,bromuro de azametonio,阿扎溴铵,,pl01
bacitracinum,bacitracin,bacitracine,bacitracina,杆菌肽,,pl01
benethamini penicillinum,benethamine penicillin,pénicilline-bénéthamine,pénicilline,苯明青霉素,,pl01
benzalkonii chloridum,benzalkonium chloride,chlorure de benzalkonium,cloruro de benzalconio,苯扎氯铵,,pl01
benzethonii chloridum,benzethonium chloride,chlorure de benzéthonium,cloruro de bencetonio,苄索氯铵,,pl01
chlorure de benzéthonium,chlorure de benzéthoni,,,,,pl01
benzododecinium,benzododecini,,,,,pl01
