stem,position,category,meaning,who_definition,chinese,target_classes,mechanisms,chemical_classes,indications,examples,infix_required,allowed_infixes,exclusion_rules,priority,source
-ac,suffix,mechanism_stem,"anti-inflammatory agents, ibufenac derivatives",,酸,,,small_molecule,inflammatory diseases,aceclofenac;alclofenac;diclofenac;etalhyaluronate;fenclofenac;dexpemedolac;etodolac;pemedolac,false,,,10,WHO INN Programme
-adenant,suffix,target_class_stem,adenosin receptor antagonists,,,gpcr,antagonist;agonist,small_molecule,,imaradenant;vipadenant;taminadenant;preladenant;muvadenant;sipagladenant;inupadenant;ciforadenant,false,,,10,WHO INN Programme
-adol/-adol-,infix,mechanism_stem,analgesics,,,,,small_molecule,pain,alphamethadol;axomadol;betacetylmethadol;tapentadol;desmetramadol;dibusadol;dimenoxadol;diproxadol,false,,,10,WHO INN Programme
-afil,suffix,mechanism_stem,inhibitors of phosphodiesterase PDE5 with vasodilator action,,那非,enzyme,inhibitor,small_molecule,cardiovascular disease,avanafil;tadalafil;udenafil;beminafil;sildenafil;anafiltamig;mirodenafil;vardenafil,false,,,10,WHO INN Programme
-ampanel,suffix,target_class_stem,antagonists of the ionotropic non-NMDA (N-methyl-d-aspartate) glutamate receptors (Namely the AMPA (amino-hydroxymethylisoxazole-propionic acid) and/or KA (kainite) receptors),,帕奈,,antagonist;agonist,small_molecule,,selurampanel;irampanel;becampanel;dasolampanel;tezampanel;perampanel,false,,,10,WHO INN Programme
-anib,suffix,mechanism_stem,angiogenesis inhibitors,,尼布,,inhibitor,small_molecule,,tirbanibulin;opaganib;toceranib;tivozanib;bevasiranib;vorolanib;vatalanib;foslinanib,false,,,10,WHO INN Programme
-anserin,suffix,target_class_stem,serotonin receptor antagonists (mostly 5-HT2),,色林,gpcr,antagonist;agonist,small_molecule,,nelotanserin;glemanserin;opiranserin;volinanserin;pimavanserin;pelanserin;anserin;ketanserin,false,,,10,WHO INN Programme
-antel,suffix,mechanism_stem,anthelminthics (undefined group),,,,,small_molecule,infectious disease,amidantel;antelmycin;atelocantel;carbantel;monepantel;morantel;oxantel;pexantel,false,,,10,WHO INN Programme
-antrone,suffix,mechanism_stem,antineoplastics; anthraquinone derivatives,,蒽醌,,,small_molecule,cancer,ametantrone;banoxantrone;butantrone;ledoxantrone;losoxantrone;mitoxantrone;nortopixantrone;topixantrone,false,,,10,WHO INN Programme
-apt-,infix,mechanism_stem,tricyclic compounds,,伐坦,,,small_molecule,,avacincaptad pegol;egaptivon pegol;emapticap pegol;lexaptepid pegol;olaptesed pegol;pegaptanib;aptazapine;aptiganel,false,,,10,WHO INN Programme
-arit,suffix,mechanism_stem,"antiarthritic substances, acting like clobuzarit and lobenzarit, (mechanism different from antiinflammatory type substances, e.g. -fenamates or",,芬那酸,,,small_molecule,inflammatory diseases,actarit;bindarit;clobuzarit;lobenzarit;romazarit;tarenflurbil,false,,,10,WHO INN Programme
-arol,suffix,mechanism_stem,"anticoagulants, dicoumarol derivatives",,香豆素,,,small_molecule,thrombosis,acenocoumarol;clocoumarol;coumetarol;dicoumarol;tioclomarol;xylocoumarol;cloridarol;fluindarol,false,,,10,WHO INN Programme
-arotene,suffix,mechanism_stem,arotinoid derivatives,,罗汀,,,small_molecule,,adarotene;amsilarotene;betacarotene;bexarotene;etarotene;linarotene;mofarotene;palovarotene,false,,,10,WHO INN Programme
-ase,suffix,target_class_stem,enzymes,,酶,,,small_molecule,,,false,,,10,WHO INN Programme
-ast,suffix,mechanism_stem,"anti-allergic or anti-inflammatory, not acting as",,司特,,,small_molecule,inflammatory diseases;allergy/asthma,polzastobart;bemfivastatin;loncastuximab;firastotug;pemirolast;emvistegrast;oglemilast;zepastine,false,,,10,WHO INN Programme
-azenil,suffix,target_class_stem,benzodiazepine receptor antagonists/agonists (benzodiazepine derivatives),,西尼,gpcr,antagonist;agonist,small_molecule,,,false,,,10,WHO INN Programme
-azepam,suffix,mechanism_stem,diazepam derivatives,,西泮,,,small_molecule,,,false,,,10,WHO INN Programme
-bactam,suffix,mechanism_stem,β-lactamase inhibitors,,巴坦,,inhibitor,small_molecule,,pralurbactam;relebactam;nacubactam;zidebactam;durlobactam;ledaborbactam;sulbactam;funobactam,false,,,10,WHO INN Programme
-bamate,suffix,mechanism_stem,"tranquillizers, propanediol and pentanediol derivatives",,氨酯,,,small_molecule,psychiatric disorders,cenobamate;carisbamate;cyclarbamate;tybamate;pentabamate;nisobamate;felbamate;difebarbamate,false,,,10,WHO INN Programme
-begron,suffix,target_class_stem,β3-adrenoreceptor agonists,,贝隆,gpcr,agonist,small_molecule,,amibegron;fasobegron;lubabegron;mantabegron;mirabegron;rafabegron;ritobegron;solabegron,false,,,10,WHO INN Programme
-bendazole,suffix,mechanism_stem,"anthelminthics, tiabendazole derivatives",,苯达唑,,,small_molecule,infectious disease,parbendazole;dribendazole;fenbendazole;tiabendazole;lobendazole;oxibendazole;luxabendazole,false,,,10,WHO INN Programme
-bep,suffix,chemical_class_stem,"engineered or synthetic scaffold proteins, nonimmunoglobulin variable domain derived",,,,antibody,monoclonal_antibody,,dazodalibep;elarekibep;ensovibep;izokibep;lerodalcibep;palsucibep pegol;taldefgrobep alfa;tezatabep matraxetan,false,,,10,WHO INN Programme
-bersat,suffix,mechanism_stem,"anticonvulsants, benzoylamino-benzpyran derivatives",,博沙,,,small_molecule,epilepsy,carabersat;tidembersat;tonabersat,false,,,10,WHO INN Programme
-bradine,suffix,mechanism_stem,bradycardic agents,,布雷定,,,small_molecule,cardiovascular disease,ivabradine;zatebradine;cilobradine,false,,,10,WHO INN Programme
-bresib,suffix,mechanism_stem,"inhibitors of the bromodomain and extra-terminal motif (BET) family of bromodomain (BRD) proteins, antineoplastics",,,,inhibitor,small_molecule,cancer,alobresib;amredobresib;birabresib;mivebresib;molibresib;pelabresib;trotabresib,false,,,10,WHO INN Programme
-brutinib,suffix,target_class_stem,agammaglobulinaemia tyrosine kinase (Bruton tyrosine kinase) inhibitors,,替尼,kinase,inhibitor,small_molecule,,,false,,,10,WHO INN Programme
-bufen,suffix,mechanism_stem,"non-steroidal anti-inflammatory agents, arylbutanoic acid derivatives",,布芬,nuclear_receptor,,small_molecule,inflammatory diseases,butibufen;fenbufen;furobufen;indobufen,false,,,10,WHO INN Programme
-bulin,suffix,mechanism_stem,"antineoplastics; mitotic inhibitor, tubulin binder",,布林,,inhibitor,small_molecule,cancer,tazevibulin;drobuline;tirbanibulin;avanbulin;valecobulin;denibulin;eribulin;ombrabulin,false,,,10,WHO INN Programme
-buzone,suffix,mechanism_stem,"anti-inflammatory analgesics, phenylbutazone derivatives",,布宗,,,small_molecule,inflammatory diseases;pain,feclobuzone;kebuzone;pipebuzone;suxibuzone;tribuzone,false,,,10,WHO INN Programme
-cain-,infix,mechanism_stem,"class I antiarrhythmics, procainamide and lidocaine derivatives",,卡-,,,small_molecule,cardiovascular disease,acecainide;asocainol;barucainide;bucainide;carocainide;droxicainide;encainide;suricainide,false,,,10,WHO INN Programme
-caine,suffix,mechanism_stem,local anaesthetics,,卡因,,,small_molecule,anesthesia,clibucaine;phenacaine;butacaine;procaine;cyclomethycaine;aptocaine;myrtecaine;tetracaine,false,,,10,WHO INN Programme
-calcet/-calcet-,infix,target_class_stem,calcium-sensing receptor (CaSR) agonists calci vitamin D analogues/derivatives,,,,agonist,small_molecule,,,false,,,10,WHO INN Programme
-capone,suffix,mechanism_stem,"catechol-O-methyltransferase (COMT) inhibitors carbef antibiotics, carbacephem derivatives",,,,inhibitor,small_molecule,infectious disease,entacapone;nebicapone;neluxicapone;nitecapone;opicapone;tolcapone,false,,,10,WHO INN Programme
-cel,suffix,mechanism_stem,substances for cell therapies,,赛,,,small_molecule,,acmucabtagene autoleucel;adimlecleucel;autoleucel;anbalcabtagene autoleucel;atidarsagene autotemcel;atleradstrocel;audencel;avoplacel,false,,,10,WHO INN Programme
-cept,suffix,target_class_stem,"receptor molecules or membrane ligands, native, modified or synthetic",,西普,,,small_molecule,,lesigercept;tulinercept;rinvatercept;olamkicept;canvircept;abatacept;recifercept;tanfanercept,false,,,10,WHO INN Programme
-ciclib,suffix,target_class_stem,cyclin dependant kinase inhibitors,,西利,kinase;enzyme,inhibitor,small_molecule,,palbociclib;crozbaciclib;zeltociclib;dinaciclib;eciruciclib;abemaciclib;riviciclib;lerociclib,false,,,10,WHO INN Programme
-cillin,suffix,mechanism_stem,"antibiotics, 6-aminopenicillanic acid derivatives",,西林,,inhibitor,small_molecule,infectious disease,sulbenicillin;sultamicillin;aspoxicillin;formidacillin;phenoxymethylpenicillin;flucloxacillin;metampicillin;tobicillina,false,,,10,WHO INN Programme
-clone,suffix,mechanism_stem,hypnotic tranquillizers,,克隆,,,small_molecule,psychiatric disorders,barbexaclone;eszopiclone;zopiclone;suproclone;pagoclone,false,,,10,WHO INN Programme
-cog,suffix,mechanism_stem,blood coagulation factors,,可近,,,small_molecule,thrombosis,eptacog beta;marzeptacog alfa;beroctocog alfa;omfiloctocog alfa;octocog alfa;alfa pegol;simoctocog alfa;turoctocog alfa pegol,false,,,10,WHO INN Programme
-cogin,suffix,mechanism_stem,blood coagulation cascade inhibitors,,可近,,inhibitor,small_molecule,thrombosis,anpocogin;pegnivacogin;taneptacogin alfa;tifacogin;albaconazole;aliconazole;alteconazole;dapaconazole,false,,,10,WHO INN Programme
-conazole,suffix,mechanism_stem,"systemic antifungal agents, miconazole derivatives",,康唑,,inhibitor,small_molecule,infectious disease,,false,,,10,WHO INN Programme
-coxib,suffix,mechanism_stem,selective cyclo-oxygenase inhibitors,,昔布,,inhibitor,small_molecule,,mavacoxib;polmacoxib;tigemocoxib;lumiracoxib;rofecoxib;robenacoxib;etoricoxib;enflicoxib,false,,,10,WHO INN Programme
-crine,suffix,mechanism_stem,acridine derivatives,,,,,small_molecule,,amsacrine;nitracrine;floxacrine;mepacrine;dimetacrine;monometacrine;botiacrine;ipidacrine,false,,,10,WHO INN Programme
-cromil,suffix,mechanism_stem,"antiallergics, cromoglicic acid derivatives",,罗米,,,small_molecule,allergy/asthma,ambicromil;replacement of probicromil;isocromil;minocromil;nedocromil;proxicromil;terbucromil;texacromil,false,,,10,WHO INN Programme
-cycline,suffix,mechanism_stem,"antibiotics, protein-synthesis inhibitors, tetracycline derivatives",,环素,,inhibitor,small_molecule,infectious disease,tigecycline;demecycline;clomocycline;apicycline;zifanocycline;oxytetracycline;tetracycline;nitrocycline,false,,,10,WHO INN Programme
-dan,suffix,mechanism_stem,"cardiac stimulants, pimobendan derivatives",,旦,,agonist,small_molecule,cardiovascular disease,oxindanac;camidanlumab;danifexor;pimobendan;olodanrigan;ifidancitinib;danirixin;dantron,false,,,10,WHO INN Programme
